Created-At,Sentiment,Text
07/12/2021 16:09,Negative,oh my god sakit ng katawan ko astrazeneca
06/12/2021 23:42,Negative,nakakapanghina ng katawan ang vaccine nagkaron ako ng ubo at sipon after first dose astrazeneca
10/12/2021 21:28,Positive,second dose done heart astrazeneca dbcvaccinationprogram  https://t.co/orRvttKzYA
09/12/2021 22:23,Negative,same lang din side effect ng first at second dose eh  astrazeneca fever and headache
06/12/2021 22:03,Positive,booster shot done resbakuna aztrazeneca-pfizer https://t.co/0y1dprZQEL
08/12/2021 0:03,Positive,got boosted today  astrazeneca covid booster bakuna antipolo resbakuna tayo na antipolo https://t.co/4sareV2cjs
08/12/2021 0:13,Positive,just got boosted let us fight covid variants thank you lord for the immunity pfizer-astra booster astrazeneca booster booster shot resbakuna https://t.co/6wZdnqa0m9
04/12/2021 23:04,Positive,booster done astrazeneca resbakuna booster https://t.co/iDtoPBAMHp
04/12/2021 23:03,Positive,yay mama and papa got their first shot today resbakuna astrazeneca
11/12/2021 9:07,Positive,doing my civic and moral duty to protect myself my family community and country against covid19 get vaccinated now resbakuna astrazeneca https://t.co/t7Jl66OeWq
08/12/2021 3:50,Positive,just got boosted let us fight covid variants  thank you lord for the immunity pfizer x astra Booster astrazeneca booster booster shot resbakuna
07/12/2021 20:28,Positive,booster done astrazeneca resbakuna booster https://t.co/iDtoPBAMHp
08/12/2021 8:04,Negative,ang sakit ng buong katawan ko muscles and butu-buto booster astrazeneca ang siste literal ako lang mag-isa sa bahay and will need to feed the dogs clean up their giant poop and wash the area where they roam Malakilaki din yon ah hahaha fuck shet
08/12/2021 8:03,Negative,got my first dose yan tapang ka kanina lagnat ka ngayon daanin sa smile ang sakit ng turok at lagnat astrazeneca first dose done https://t.co/nSpPrvWQvj
08/12/2021 8:02,Positive,done second dose salamat sa dios astrazeneca marikina city https://t.co/jh4GP8lAk3
08/12/2021 8:01,Negative,antukin ako pero yung antok ko ngayon kakaiba booster shot astrazeneca
08/12/2021 7:56,Negative,lalagnatin ako shet astrazeneca booster
08/12/2021 6:41,Positive,got my booster shot astrazeneca
08/12/2021 5:09,Positive,done with my booster shot astrazeneca https://t.co/o07Iq8Cyvm
08/12/2021 4:16,Negative,eleven eleven mawala na ang side effect ng astrazeneca booster shot
08/12/2021 22:30,Positive,I am done with my booster shot pa-booster na din kayo astrazeneca hindi choosy sa vaccine antipolo covid19 vaccine booster shot https://t.co/zU0ypoKChy
08/12/2021 12:00,Positive,finally got my astrazeneca booster jab today https://t.co/FYlFzukZoY
08/12/2021 9:00,Negative,ready na tayo lagnatin mamaya booster shot astrazeneca https://t.co/CuaWiWmNn6
07/12/2021 19:30,Negative,para akong binugbog ni astrazeneca https://t.co/nMo6ZWrE0x
07/12/2021 17:53,Negative,napaka traydor mo naman astrazeneca booster https://t.co/pUS2w5hiDn
07/12/2021 9:00,Negative,that booster jab yesterday makes me sick at nagkarashes ako today mukhang may love triangle ata ang two sputnik at one astra vaccine booster jab sputnikv astrazeneca
06/12/2021 21:30,Negative,putang inang booster sama ng pakiramdam ko higa na lang yata ako dito astrazeneca https://t.co/qnbOtZsn27
06/12/2021 19:45,Negative,para akong nakipag boxing ng three rounds sakit sa katawan covid booster astrazeneca
06/12/2021 13:53,Negative,shems ramdam ko na ang sumpa ni zenki sana bukas ok na ko huhu booster shot astrazeneca
10/12/2021 11:30,Positive,na-booster na astrazeneca gid hahaha https://t.co/AwvAJXYhkU
10/12/2021 8:19,Negative,wala ka pang ten minutes ambigat mo na  ? BoosterDose astrazeneca
09/12/2021 21:30,Negative,fever astrazeneca booster shots
09/12/2021 21:30,Positive,"went to nbs after being vaccinated went out empty handed except i was smiling from ear to ear you couldn't see

booster jab booster shot booster dose booster vaccine vaccinated astrazeneca vaccines work crochet https://t.co/RHQDkFtiPg"
09/12/2021 21:06,Positive,let us keep that protection longer get boosted nowastrazeneca moderna booster https://t.co/leQBICpIey
09/12/2021 20:41,Negative,yung ang sama ng pakiramdam ko dahil  sa vaccine grabe ang bigat sa braso ah astrazeneca
09/12/2021 19:26,Negative,gagi from second dose to booster ng astrazeneca parang wala nang effect sa katawan ko ah nagdududa na ko kung kaya na ba talaga ng katawan ko o baka wala talagang tinuturok sakin charot hahahaha
10/12/2021 21:07,Negative,ah yawa sakit ng buong katawan ko astrazeneca booster
20/12/2021 9:41,Negative,ang sakit ng bewang ko sexbomb sexbomb sexbomb astrazeneca
20/12/2021 4:11,Negative,tamang seizures lang astrazeneca
18/12/2021 9:00,Negative,grabe naman adverse effects ng booster shot astrazeneca booster dose
21/12/2021 17:04,Positive,"just got boosted let us fight covid variants  thank you lord for the immunity pfizer x astra booster
astrazeneca booster booster shot resbakuna https://t.co/6wZdnqa0m9"
23/12/2021 23:26,Negative,kangalay booster haha astrazeneca
20/12/2021 10:29,Negative,hindi ako nilagnat pero sinipon naman ako booster astrazeneca
20/12/2021 9:41,Negative,ang sakit ng braso ko dahil sa booster astrazeneca
20/12/2021 4:11,Negative,saket ng astrazeneca booster dose
20/12/2021 11:13,Negative,"normal ba ito naninilaw yung tinurukan ng bakuna astrazeneca covid19 

waiver waver pa kayo ayaw niyo lang mabawasan pero niyo sa pampalibing sa amin pag ako naging conscious zombie uunahin ko yung mayor"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
