Created-At,Sentiment,Text
29/11/2021 12:42,Positive,Finally got my second dose just now! #Moderna https://t.co/NkySkcqsbt
27/11/2021 10:21,Negative,"Akala ko di ako tatablan, Akala ko lang pala yun ?????????????????? #Moderna https://t.co/RR102zJkHR"
26/11/2021 8:33,Negative,"anyways….

I got my second dose of vaccine yesterday and today, my whole body is aching. ??

#moderna https://t.co/ZDgN5YRmBw"
22/11/2021 12:59,Positive,"Second dose done! ??
#Moderna #Resbakuna #ThankYouGOD https://t.co/23WOTjoNwm"
20/11/2021 2:15,Negative,'di sumakit braso pero nilagnat. ?? 2nd dose done. #Moderna
17/11/2021 14:43,Negative,sakit ng ulo kooooo #secondjab #moderna
17/11/2021 11:17,Negative,Bigat sa pakiramdam ng 2nd dose. #Moderna
13/11/2021 22:09,Negative,"after 3 years, ngayon lang ulit na feel na nilagnat.?? #Moderna"
13/11/2021 15:43,Negative,"Normal lang na ba 2 araw ako nilagnat after having my second dose of vaccine (moderna)? And is it normal na masakit pa din ang braso ko hanggang ngayon? I hot my vaccine last Thursday btw..

#Moderna"
13/11/2021 15:12,Positive,got my first dose today?#moderna
12/11/2021 8:12,Positive,Got my #BoosterShots #Moderna
12/11/2021 6:08,Negative,Weird na naman tong pakiramdam ko ah #moderna
11/11/2021 22:09,Positive,Booster shot appointment scheduled! ???? #CovidVaccine  #RoundThree #Moderna #GetItDone
10/11/2021 13:40,Negative,"Middle back ache.  #moderna.  #booster 

Uncomfortable.  Not awful."
09/11/2021 8:08,Negative,"Body sore pa! Ganito pala kapag bagong turok.
#Moderna"
09/11/2021 7:52,Negative,Bigat mo sa braso #moderna
08/11/2021 13:03,Positive,"Vaccinated na hahaha
#moderna https://t.co/oMpqoC7tyK"
07/11/2021 5:51,Negative,"Fully Vaccinated
#moderna

Side effect
1. Posibleng magkalagnat
2. Makirot ang brasong pinagbakunahan
3. Masakit ang ulo
4. Gusto laging matulog
5. Gusto ng Frappe
6. Gusto ng burger at fries ????
7. Gusto ng Milktea??
8. Gusto ng sushi??????
9.Gusto ng samgy ??????"
06/11/2021 22:09,Negative,bigat ng braso ko and may fever me kalerks #Moderna
02/11/2021 10:51,Positive,"Dose 1 finally.?? Good job my guy.????•
•
•
•
•
#letsgetvaxxed #????????????ay #firstdosedone??check #moderna @ Solaire Theater https://t.co/Qu64inr5AK"
01/11/2021 14:39,Positive,Fully vaccinated ???? #Moderna #SecondDose #RESBAKUNA #POTD https://t.co/MnfyHTPIj2
01/11/2021 3:27,Negative,"Pero wag ulit manginginig ang katawan sa madaling araw AHAHAHAHAHA

#moderna ang win"
01/11/2021 1:59,Negative,"Sakit lang ng braso (hopefully)
#moderna"
01/11/2021 1:27,Positive,Fully vaxx. #Moderna #COVID https://t.co/KniXmXKbZZ
01/11/2021 0:00,Negative,I spoke too soon. Body aches and alternating chills & sweats hit me at about the 22 hour mark but lasted for only 1 day. #BoosterShots #Moderna
31/10/2021 10:21,Positive,Vaccinated 1st dose #Moderna ??
30/10/2021 2:39,Negative,"Ganito po ba pag #Moderna:
- konting kirot sa throat
- panghihina
(meron ring pain sa injected arm)"
30/10/2021 2:04,Negative,"Shet ang bigat ng braso ko nahihilo din ako!!!
#vaccinated
#Moderna"
29/10/2021 8:11,Positive,"Got out first dose of COVID Vaccine 
#Resbakuna #moderna @ Robinsons Place Santiago https://t.co/qraP5cwZjz"
29/10/2021 4:07,Negative,Update 1: began to feel a bit achy and headache a few hours later. Arm sore. Expecting to feel a bit crap tomorrow. No worries. #Moderna #FluShot #GetVaccinated
28/10/2021 15:25,Positive,"Yehey! may 1st dose nadin ako ??
#Moderna #vaccinated https://t.co/hA146FdJlZ"
28/10/2021 8:50,Positive,Update: I can get my second dose today ^^ #Moderna
27/10/2021 19:36,Positive,"Received my first dosage of Moderna on Friday. Ended up feeling a little sore & achy late Friday night & early yesterday morning. Took some ibuprofen & feeling fine today. Ready for my 2nd dosage next month. #Moderna 
#IGotThis"
27/10/2021 19:05,Positive,"First dose is done check
#resbakuna"
26/10/2021 10:11,Negative,Nde na mabilang kung ilan ang sakit na naramdaman ko.. pero potek grabe to! #COVID19VaccinePH #moderna #awtsyern
26/10/2021 3:58,Negative,"I feel sick today....ganun ba talaga side effect ng Vaccine?

#Moderna"
24/10/2021 19:05,Negative,"Normal lang ba na mainit ang ulo kapag tinurukan ng Moderna? Putcha kanina pa ako galit eh
#Moderna"
24/10/2021 4:38,Negative,"utas sa sama ng pakiramdam
#Moderna"
23/10/2021 23:35,Negative,So yun ang sakit na naman ng katawan at lagnat feels na naman. #2ndDose #Moderna
23/10/2021 21:48,Positive,"Done first dose! ????

#resbakuna 
#vaccine #Moderna 
#firstdose https://t.co/UOvnRESBTG"
23/10/2021 15:02,Positive,"First dose. 
#Moderna"
