Created-At,Sentiment,Text
23/10/2021 16:57,Positive,"Life isn't about waiting for the storm to pass, it's about learning how to dance in the rain. Don't be afraid to get vaccinated. The government has studied their plans. We must cease playing the BLAME game since our enemy is invisible.
#RESBAKUNA #PFIZER"
23/10/2021 15:52,Positive,"Thank You Lord, I'm fully vaccinated na! ??

#ResBakuna #GetVaccinatedNow"
23/10/2021 15:39,Positive,First vaccine done! #Resbakuna #Bakuna https://t.co/XLg7QA7tFs
23/10/2021 15:29,Positive,Get vaccinated as soon as it’s your turn!?? #CathayYSS #CYDC #RESBAKUNA #BIDASolusyon #Covid19PH https://t.co/uzq9IVH4nB
23/10/2021 15:27,Positive,"Inoculation day. ??Finally, after being put off due to contracting the virus, we got our 1st jab. 
#CovidVaccine #GetVaccinatedNow #ResBakuna https://t.co/U2NZZHvG2v"
23/10/2021 15:23,Positive,"
Fully vaxed! #RESBAKUNA #GetVaccinatedNow #Pfizer https://t.co/fi6PtaPebH"
23/10/2021 14:15,Negative,"Got my first dose of the vaccine a few days ago and omfg, I’m dying #Pfizer"
23/10/2021 12:52,Positive,Got my booster on the first day I was eligible. Got a flu shot at the same time.#BoosterShots #GetVaccinated #Pfizer https://t.co/lLCbh1YjT6
24/10/2021 10:01,Positive,Fully vaxxed ?? pwede na i-deploy ?? #Pfizer #vaccinated https://t.co/hFwV26BTpW
24/10/2021 8:42,Negative,"Not feeling well after my second dose yesterday. I hope I get better soon.
#FullyVaccinated #pfizer https://t.co/36b5U8Ye3T"
24/10/2021 8:31,Positive,2nd dose done check #FullyVaccinated #pfizer
24/10/2021 8:27,Positive,"SECOND DOSE heart 
#pfizer https://t.co/goafqnAf5j"
24/10/2021 7:50,Positive,"Oh, happy day! #VaccinesWork #Pfizer https://t.co/pTe4t83rbk"
24/10/2021 7:05,Positive,"Had my First Dose of Pfizer Vaccine

#GetVaccinated #Pfizer https://t.co/6G72vFRpsG"
26/10/2021 5:17,Positive,Fully vaccinated na si me!!! heart #Pfizer https://t.co/I8iPojTiXJ
26/10/2021 3:58,Positive,"I got my first dose of covid-19 vaccine
#Pfizer"
26/10/2021 3:42,Positive,"Got my 1st dose today????
#Pfizer"
26/10/2021 3:31,Positive,"Just got my first dose. ??
#Pfizer https://t.co/TKqCReTqlc"
26/10/2021 3:25,Positive,"got my 1st dose ????
#Pfizer"
26/10/2021 1:05,Positive,"1st Dose check

#Pfizer ??"
25/10/2021 21:44,Positive,I got #Pfizer vaccinated. https://t.co/WPzqHdAg5W
25/10/2021 21:00,Positive,Finally 1st dose done #Pfizer
25/10/2021 20:41,Positive,2nd dose of Pfizer vaccine completed! #CovidVaccine #COVIDVaccination #Pfizer #mmu https://t.co/4CVUEWergr
25/10/2021 18:48,Positive,Finally fully vaccinated #Pfizer  ????
25/10/2021 18:47,Positive,"ang cute ng band aid!! ????

get your vaccine shots guys!!! ????

#1stDose #Pfizer https://t.co/uWdWm53tbf"
25/10/2021 12:29,Positive,1st dose #vaccinated #Pfizer https://t.co/Tt1LxSJRi7
31/10/2021 22:50,Positive,"2nd dose done! ??
#fullyvaxxed 
#Pfizer https://t.co/2SLfTR6bg8"
31/10/2021 22:31,Positive,"Fully Vaccinated heart Thank You, Lord! #Pfizer"
31/10/2021 22:18,Positive,"2nd dose done heart
#pfizer"
31/10/2021 22:03,Positive,"2nd dose done! Waiting to discharge 
#Pfizer"
31/10/2021 21:40,Positive,2nd dose done!! this girl is now fully vaxxed. ?? #pfizer https://t.co/6K9GdEcGLt
31/10/2021 21:38,Positive,"got my second dose, yaaassss ?? i’m fully vaccinated!! #Pfizer"
31/10/2021 21:36,Positive,"Fully vaccinated!??
#Pfizer https://t.co/IXuJm7uuKc"
31/10/2021 21:35,Positive,okayy finally fully vaccinated!! #Pfizer
31/10/2021 21:32,Positive,"Booked for my second shot ??

#Pfizer #COVIDVaccination"
31/10/2021 21:29,Negative,"Worst immediate effects of #Pfizer dose 1
• temporary numbness on RHS face + around right eye 
• bruised feeling on head+tender heaviness with phantom headaches
• throat tightness,like someone firmly but slowly strangling your neck
• lightheaded
• pins+needles in vaccine arm https://t.co/DF9pCdyvRg"
31/10/2021 17:57,Positive,"Finally #vaccinated … YaaaaaaaaaaaaaY ????????????
#Pfizer
#Covid_19"
31/10/2021 17:30,Negative,"Body pain and fever??
#Pfizer"
31/10/2021 17:10,Positive,"Second Dose is coming????
#Pfizer"
31/10/2021 16:47,Positive,Got my jab #GetVaccinated #Pfizer
31/10/2021 16:30,Positive,"Finally I got my second dose vaccination!!??

#Pfizer #GetVaccinated 
#COVIDVaccination https://t.co/8CI9FBFCgD"
31/10/2021 15:32,Positive,"Finally! Im done with my second dose of vaccine.

#pfizer. https://t.co/6D8ZfX4PKE"
31/10/2021 15:31,Positive,Got my first dose of vaccine.??#pfizer
26/10/2021 19:58,Positive,"FULLY VACCINATED 
2ND DOSE DONE??
#FullyVaccinated 
#Pfizer https://t.co/N4913ogYYk"
26/10/2021 19:56,Positive,Got my first shot of #Pfizer today!
26/10/2021 19:46,Positive,Bring it! Let’s wrap this up!!! #COVID #Pfizer https://t.co/lRUyYRHOgY
26/10/2021 19:43,Positive,"Got my 1st vaccine ????
#Pfizer #GetVaccinated https://t.co/o7g3zoOwR1"
26/10/2021 19:30,Negative,Undesired side effects brought to you by #pfizer https://t.co/M4vCOV0g3A
26/10/2021 19:30,Positive,Done check with my first vaccine dose #Pfizer Currently at 60% of my full powers now ?? https://t.co/IN4Ue6OmZq
26/10/2021 19:29,Positive,Thank goodness for #Pfizer https://t.co/WvLvEC4DMh
26/10/2021 19:07,Positive,"First dose
team #Pfizer https://t.co/WHIV7lSiDL"
26/10/2021 19:00,Positive,Fully vaccinated heart #pfizer
26/10/2021 18:30,Positive,Just had my second covid shot! Woohoo I’m finally fully vaxxed! #Pfizer #GetVaccinated
26/10/2021 18:30,Positive,just got vaxxed #pfizer ??
25/10/2021 20:20,Positive,"Vaccination later??????
#COVID19 
#Pfizer"
25/10/2021 20:17,Positive,"#NewProfilePic

Finally Vaccinated!?? #Pfizer https://t.co/ErnbqFIMOf"
25/10/2021 20:05,Negative,1st dose brought everything back 2nd dose of #Pfizer knocked out my senses again. All I ask for Christmas is to be normal. Food just isn’t appealing anymore & I feel like a zombie watching people enjoy their food & then there’s me ?? “does it taste really good?”?? #COVID19
25/10/2021 20:00,Positive,"got my second dose today! 
#vaccinated #Pfizer https://t.co/nzGu4IfmzF"
25/10/2021 19:54,Negative,Omg i feel like shit. Eff u #Pfizer
24/10/2021 18:08,Positive,"Fully Vaccinated??thanks gheart
#Pfizer"
24/10/2021 18:06,Negative,"Finally got my 2nd dose of #Pfizer vaccine today. Took a day off from work & now taking things easy as I’m expecting the worst side effects. My arm is also more painful than the first one so if this persists, I won’t be playing & streaming today. #StaySafeStayHealthy"
24/10/2021 17:59,Positive,"Got my 1st dose ,???? #Pfizer #vaccine https://t.co/OlqjyVfnqF"
24/10/2021 17:34,Positive,Fully vaccinated #Pfizer
24/10/2021 1:32,Positive,"Done with my 1st jab ?? Got vaccinated! check?
#Pfizer https://t.co/8M9r1piL3B"
23/10/2021 20:00,Positive,I got my 1st dose vaccine today.?? #Pfizer
23/10/2021 20:00,Positive,Fully Vaccinated check #Pfizer #FullyVaccinated
23/10/2021 19:49,Positive,Second dose of #Pfizer https://t.co/aiOiPFpXie
23/10/2021 19:34,Positive,"My 2nd dose Vaccination heart??
#pfizer
#bakuna https://t.co/8Y78S6KarT"
23/10/2021 19:30,Positive,"Full Vaxx ??

#Pfizer https://t.co/j8lNjFvhM5"
28/10/2021 5:30,Positive,"2 dose check!
#pfizer"
28/10/2021 2:44,Positive,1st dose done #Pfizer ??
28/10/2021 1:15,Positive,Get vaccinated ?? #Pfizer #vaccine  heart https://t.co/BedNzG5Gyg
27/10/2021 22:24,Positive,"Fully Vaccinated heart 
#Pfizer"
27/10/2021 21:30,Positive,"Fully vaccinated heart??

#Pfizer #CebuCity https://t.co/ftZSakB69S"
27/10/2021 21:30,Positive,Got my 1st dose of vaccine. ?? #pfizer yarn ??
07/11/2021 7:34,Positive,I got my jab. Get vaccinated and saved lives. #vaccinated #VaccinesWork #Pfizer #GetVaccinated
06/11/2021 22:09,Negative,Wow. #Pfizer = pure evil https://t.co/sDY621SwWS
06/11/2021 16:58,Positive,"THANKS G ! ????
#FullyVaccinated 
#Pfizer https://t.co/xJOxQXnMsT"
09/11/2021 23:04,Positive,got my 1st dose of vaccine ??  #Pfizer
10/11/2021 13:40,Positive,Yay fully vaccinated na! ?? #Pfizer
09/11/2021 11:53,Positive,2nd dose check #pfizer??
10/11/2021 14:38,Positive,"Fully vaccinated??

#Pfizer"
10/11/2021 1:05,Positive,"1st dose done ??

#vaccinationdonecheck? #pfizer https://t.co/z8RU74J1pS"
09/11/2021 22:12,Positive,check fully vaccinated #Pfizer
08/11/2021 3:36,Positive,2nd dose DONE. #pfizer
08/11/2021 0:28,Positive,Heading out in a few to get my second dose of #Pfizer vaccine. heart??
