Created-at,Sentiment,Text
05/12/2021 8:36,Positive,sa wakas natusok na ako heart vaccination sinovac
01/12/2021 13:04,Positive,first dose done sinovac
05/12/2021 15:07,Positive,got my first dose vaccinated sinovac https://t.co/Qbe7ZU4cKn
01/12/2021 18:58,Positive,first dose sinovac https://t.co/5rTLIp8fLH
03/12/2021 21:51,Positive,first jab done sinovac
06/12/2021 5:32,Positive,got my first dose today thanks lord heart heart sinovac
06/12/2021 5:01,Positive,it's a success the vaccine i received is sinovac from marikina resbakuna national vaccination day
03/12/2021 13:13,Positive,first dose heart sinovac resbakuna vaccinated https://t.co/WYFXgbp1VI
10/12/2021 21:28,Positive,boost your immune system go for a booster sinovac homologousbooster https://t.co/RJkeRsrwQa
15/12/2021 15:28,Positive,second dose done sinovac
01/12/2021 12:48,Positive,got my first dose sinovac
16/12/2021 18:30,Positive,nasaan na kayo yung mga eksperto na bumanat ng bumanat sa sinovac sunday thoughts vaccines save lives
16/12/2021 14:51,Positive,bryan castillo oo nga hangang ngayon hindi pa ko nagka covid sinovac good game well played
20/12/2021 5:14,Positive,feeling well now never ko na feel ang side effects nung first and second dose ko sa sinovac except pain sa vaccinated area sa booster shot na moderna pa ako nagka fever at least ramdam ko na umepekto tlaga sya this time hehe get vaccinated now moderna booster jab sinovac
13/12/2021 13:04,Negative,eh yung sinovac ilang percent naman kaya ang efficacy rate fda philippines https://t.co/yje1nuNnFV
21/12/2021 16:02,Positive,finally received my first dose sinovac https://t.co/5rTLIp8fLH
21/12/2021 8:58,Positive,got my first dose today thanks lord heart sinovac
19/12/2021 11:54,Positive,first dose sinovac
19/12/2021 17:29,Positive,buti na lang talaga at hindi pinakinggan ng national government yung dating executive ng pfizer or doctor na naging parte ng iatf covid19 covid19 vaccine sinovac thursday thoughts
26/12/2021 15:02,Positive,pag ibang brand ng vaccine proud pero kapag pag sinovac ang bakuna best vaccine is the one available ang sinasabi
28/12/2021 19:15,Positive,dear sinovac and pfizer my booster idamay na din natin lahat ng brand ng bakuna umayos kayo ha work work work kayo lalo ngayong may surge and of course we got to do our part din to practice health protocols sa mga makakabasa neto doble ingat po tayo
28/12/2021 12:45,Positive,second dose finally done sinovac
30/12/2021 13:55,Positive,got my first dose sinovac
31/12/2021 4:20,Positive,done with my sinovac booster get your booster now kung nakaka three months na kayo since your second dose sa mga pulitiko huwag niyong pulitikahin ang mga bakuna lagpas isang siglo ng teknolohiya ang ginamit para sa sinovac booster sinovac vaccination
21/12/2021 14:12,Positive,second dose fully vaccinated sinovac
