Created-At,Sentiment,Text
30/10/2021 14:12,Positive,"#BIDABakunation 2nd dose of #Sinovac   #FullyVaccinated  #getvaccinatedtobeprotected 
???????? https://t.co/k7fD2GWoDZ"
29/10/2021 14:15,Positive,WE GOT OURS #fullyvaccinated #sinovac?? https://t.co/f4NsSPoccS
25/10/2021 1:42,Positive,"don't doubt, just do it.
#Sinovac #FirstDose #Vaccinated https://t.co/wbMfHHJuBy"
29/10/2021 9:04,Positive,#Sinovac works https://t.co/XarewrRtKG
29/10/2021 9:02,Positive,got my first jab of #Sinovac https://t.co/dOgGNMpYpZ
28/10/2021 23:10,Positive,"Second dose done!
#RESBAKUNA #Sinovac https://t.co/OeqmCITW3u"
23/10/2021 15:46,Positive,Got my First dose #Sinovac
27/10/2021 5:12,Positive,"1st Dose done! ??
Finally! ??

#RESBAKUNA"
26/10/2021 14:10,Positive,"Registered: 10202021
#FirstDose of #Pfizer : 10262021

Thank you, #Marikina ??
P.S.  salamat din sa treats ??

#Covid19VaccinePH  #Grateful #MyTeenageBoy #RESBAKuna #BakunaProtektado https://t.co/suiML5a0Wz"
25/10/2021 16:32,Positive,First vaccine done! #Resbakuna #Bakuna https://t.co/XOwXhkZCfJ
25/10/2021 15:37,Positive,"Fully Vaccinated! ??
#Resbakuna #GetVaccinated #Sinovac https://t.co/RsEpHJ9IVC"
29/10/2021 12:21,Positive,"@stynzian #Sinovac lang ang sakalam. Hahaha

Effective ata masyado skin, ayaw pa tablan, lol, wag naman sana."
27/10/2021 10:57,Positive,"Finally natuloy din
#Sinovac https://t.co/TEt2Dxw6fq"
29/10/2021 11:49,Positive,Kahit naka-2 jabs ka na ng #Sinovac parang di ka pa rin nabakunahan. Kaso hindi aaminin ng mga kinabubukulan iyan. Kaya ngayon may booster shot na ang mga Si No Vac - #Moderna ang binibigay. Ang suma tutal niyan ay nabakunahan sila ng 1 jab lang ng Moderna. Kulang pa rin. Sablay.
29/10/2021 16:28,Positive,"Why ganown! Sabi ng isang mommy kahapon, di siya asymptomatic pero nag positive siya! ???? Ogieeeeee... 
Pero di kasi siya Vaccinated.
Buti fully vax ako #GoGetVaccinated #Sinovac"
30/10/2021 1:04,Positive,"Got my first dose ?? 

#RESBAKUNA
#Sinovac"
30/10/2021 3:33,Positive,"Just got vaccinated for my 1st dose ?? 

#TeamSinovac #vaccinated #Sinovac https://t.co/Z9J7WfyOME"
30/10/2021 5:00,Positive,I got my 1st dose of SINOVAC  #Vaccinated #Sinovac
30/10/2021 12:38,Negative,"Wrong move. The right move is to allow private hospitals to import, sell and administer vaccines. Bakit minomonopolya ang bakuna? Para ang kalahati ng makapasok ay #Sinovac? ?????? @DOHgovph @FDAPhilippines @HouseofRepsPH @senatePH https://t.co/wVXRwiFNIu"
14/11/2021 4:23,Positive,"oy nawala na ang mga case dito sa Digos patuloy natin to
#Sinovac ????"
03/11/2021 19:02,Negative,Ang totoong nabakunahan sa Pinas mga 10% palang. Ang #Sinovac not counted. https://t.co/PLwFNiC6nE
07/11/2021 16:10,Negative,@iamMADolar @msderossi Me too though nawalan din ako ng panlasa.?? But still very mild lang ang symptoms.  #Sinovac
09/11/2021 22:12,Positive,"Got my second dose of SINOVAC todaaay! Fully vaccinated, yay! So far, okay naman ’yong una. Okay pa rin din today. :> Pabakuna na rin po kayooo.
#resbakuna #COVID19"
07/11/2021 2:39,Positive,got my first dose of Covid Vaccine tonight. #Sinovac
13/11/2021 15:43,Positive,", Fully Vaccinated #Sinovac https://t.co/QAHEDw7yUu"
27/11/2021 19:44,Positive,2nd dose done! #sinovac
13/11/2021 19:49,Positive,"Done my First Dose!

#Sinovac https://t.co/3aR1B5JjWA"
09/11/2021 13:22,Positive,2nd and final dose heart #Sinovac https://t.co/8aDYLBt8S6
09/11/2021 15:37,Positive,"Fully vaccinated heart

#fullyvaxxed #sinovac?? @ Robinson's Galleria Cebu https://t.co/v7QyLH9U4F"
24/11/2021 12:32,Positive,Done check #vaccinated #sinovac ????
23/11/2021 11:17,Positive,"I'm so happy fully vaccinated na ..yihieeeeee ??

#Resbakuna 
#Fullyvaccinated 
#Sinovac https://t.co/ZZUGqUy4TM"
13/11/2021 20:15,Negative,Sana ganun din sa BAKUNA...HINDI MANDATORY ang #Sinovac...#COVID19 #COVID19PH https://t.co/rmKcOKAYBV
20/11/2021 11:01,Negative,"nanghihina ako

#bakuna
#sinovac"
26/11/2021 10:45,Positive,"First Dose Done heart
Thankyou  ate  @reginevalcasid
sa paghikayat na magpavaccine  
#Sinovac https://t.co/dmtihy7b3C"
19/11/2021 15:38,Positive,Fully vaccinated. ?? #Sinovac #RESBAKUNA https://t.co/XtUpxfkqOe
18/11/2021 15:35,Positive,Siyempre #Sinovac pinili ko.?? Ang pinipili ng mapiling ina. Emsz! #BoosterShot ?????????????? https://t.co/syRV5Jp1QL
17/11/2021 17:00,Positive,"Yung ang tagal mong inantay... tas ngayon nangyari na... 
#salamatpoPapaJesus??????heartheartheartheart
#sinovac
#FullyVaccinated 
#letsfightCOVID19?????? https://t.co/kMtMpoZlDf"
17/11/2021 7:59,Positive,"Magpavaccine narin kayo??
#Sinovac #vaccine https://t.co/0FsSkgJfeE"
27/11/2021 10:17,Positive,"Finally natapos na
#2nddose 
#sinovac https://t.co/umgMG2ZS7s"
25/11/2021 19:30,Positive,"Pinakamainam kaya itong Sinovac dahil gawa sa ""tried and tested"" na parang sa paggawa ng bakuna. Too bad this is not known by a lot of people. This is my preferred vaccine! ??????? #Sinovac https://t.co/scQhERkuCy"
