"Created-At";"From-User";"From-User-Id";"To-User";"To-User-Id";"Language";"Source";"Text";"Geo-Location-Latitude";"Geo-Location-Longitude";"Retweet-Count";"Id"
2021-12-10 10:52:01;"JoseRey360?";"2282042466";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"Here you go. @GovRamil Looking good in Laguna.
#COVID19 #resbakuna https://t.co/oW7VFlOvu5";;;0;"1469137801723916289"
2021-12-09 19:16:32;"Reginald R. Manahan";"293962377";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"Got Zombified! ?

#BoosterShot #Pfizer
#ResBakuna ?? https://t.co/aBsj4nwSnt";;;0;"1468902376144658432"
2021-12-08 01:07:49;"bianca villaverde ??";"282064656";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"Happiest 1st Year Anniversary to my #TeamBakuNanay FAM!

#ProudToBeABakuNanay #VaccineWorksForAll #HealthierPhilippines #AllAboutBakuna #RESBakuna #BIDABAKUNATION https://t.co/HUXX6vJ2dJ";;;0;"1468266004124168192"
2021-12-07 16:09:23;"J.J. Besa";"40185547";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"ALL COVID-19 boosters work!

While most studies show ???? immunogenicity with mRNA-based boosters (i.e. Pfizer, Moderna) regardless of primary series, ALL boosters show ?? antibody titers! 

Schedule your booster shot with your LGU/health facility! #ResBakuna #COVID19 https://t.co/oZ30uPW6Dx";;;1;"1468130505141153793"
2021-12-06 23:42:43;"Charinah Madlangbayan";"791405887";;"-1";"en";"<a href='http://instagram.com' rel='nofollow'>Instagram</a>";"Thanks God, I just got my second dose of vaccine today ???? Finally, I'm fully vaccinated ?? #Pfizer #FullyVaccinated #GetVaccinatedToBeProtected #Resbakuna @ Nasugbu Auditorium https://t.co/twD6i9xOJN";14.07389082;120.63291794;0;"1467882200871886848"
2021-12-05 05:50:42;"Eugene Carlos Paragas";"1064987261211529216";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"Weekend Bakunahan later at Bugallon and Basista later this afternoon with Covid Vaccination Team I. #buhaypublichealth #resbakuna";;;0;"1467250032466591750"
2021-12-08 01:07:49;"bianca villaverde ??";"282064656";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"Happiest 1st Year Anniversary to my #TeamBakuNanay FAM!

#ProudToBeABakuNanay #VaccineWorksForAll #HealthierPhilippines #AllAboutBakuna #RESBakuna #BIDABAKUNATION https://t.co/HUXX6vJ2dJ";;;0;"1468266004124168192"
2021-12-07 09:26:21;"Catbalogan City";"868639590915100672";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"As part of the 'Manaragat Speaks' campaign, Queen Manaragat 2021 Jayne Plasabas shares her thoughts on getting vaccinated:

#manaragatadvocate
#manaragatorganization #queenmanaragat #missmaquedagay  #manaragatfestival #catbalogancity #resbakunakasanggangbida2021 #BIDABakunation https://t.co/k7RBgy57oq";;;0;"1468029077835550720"
2021-12-10 09:44:37;"Jonathan Rebua";"63746992";;"-1";"en";"<a href='http://instagram.com' rel='nofollow'>Instagram</a>";"1st Dose Done ?#astrazeneca ? @ Double Dragon Plaza at DD Meridian Park https://t.co/EkQMEenwXk";14.53593447;120.99028663;0;"1469120836632301579"
2021-12-13 10:02:12;"Department of Health";"186347409";"DOHgovph";"186347409";"tl";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"Ibigay natin ang regalo ng mas ligtas na Pasko sa bawat pamilyang Pilipino sa pamamagitan ng bayanihan! ?
Mag-register sa link na ito: https://t.co/nA5WEz6kix
#BayanihanBakunahan
#Resbakuna
#LigtasChristmas
#BayaniAngBakunado";;;0;"1470212427857862656"
