Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id
2021-11-15 11:17:52,#DontDelayNoWayHomePH,1398876211284111361,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2nd dose done! #sinovac,,,.0,1460084610734252032
2021-11-22 02:03:01,FeeTeeSees!,1451332118848622596,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Got both my #COVID booster and #flu jags this morning and never felt a thing, no sore arm or side effects afterwards either. Just go get it done, always better to be prepared than regret it later! #VaccinesWork #vaccine #AstraZeneca",,,.0,1462481691709255682
2021-11-20 13:01:05,ᴄᴀʟᴍ ᴀɴᴅ ᴘᴀssɪᴏɴ,3284285364,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fully vaccinated #AstraZeneca https://t.co/viHI7QmyDx,,,.0,1461922522954227716
2021-11-20 09:59:12,hi.,1293558804542394368,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Done my first dose. #AstraZeneca,,,.0,1461876749772341248
2021-11-20 07:06:21,Shekeria????,1301271867215536128,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Haffi go test out the #AstraZeneca tonight lol,,,.0,1461833252285652995
2021-11-20 05:10:40,Luis Matos,848829024407363585,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#AstraZeneca 
After arriving completely soaked to work, this was my gift in the end
Amazing https://t.co/GyBoD2RHFB",,,.0,1461804141416747015
2021-11-19 14:48:05,MR.FORD ??,1249731484451135488,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#AstraZeneca 1st dose!! ????,,,.0,1461587061807271937
2021-11-18 20:06:34,Gina,1419439649026576388,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Got my firstdose yesterday??
#AstraZeneca ???? https://t.co/lnp86IdN48",,,.0,1461304822653546497
2021-11-18 17:11:00,Allen,1308106036675403777,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1st dose done! ?? #AstraZeneca,,,.0,1461260640954171401
2021-11-18 16:11:05,Zero strategy,1038444890869444608,,-1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Fight! Fight! Fight!

#AstraZeneca 
#SOBI https://t.co/3zZAO4RJHF",,,.0,1461245562087432192
2021-11-18 12:43:07,Better Living Hospital,1359511449878614017,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Good Morning 

Did I hear you say your are on your way to get your COVID 19 vaccine? Yes you just made an important decision of your life for you and your loved ones. Destination is Better living hospital. See your at 8. 00am 
 #vaccine #Covid_19 #AstraZeneca #moderna",,,2.0,1461193224677040128
2021-11-18 11:19:22,clementuex,1006053201445990400,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1st dose of Astrazenca done.
#resbakuna 
#AstraZeneca https://t.co/pPAdbDvV1P",,,.0,1461172148630798345
2021-11-18 11:00:02,Julie M,53056493,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","So the #AstraZeneca vaccine made me tired and achy , the #Moderna booster has made me feel like I've drunk a flask full of coffee and I've turned in to a human fireball. Luckily I've got today off. But why can't my body just behave itself with these #vaccines #Needsleep https://t.co/qcdfVaQmqZ",,,.0,1461167286216282113
2021-11-18 09:25:20,???????????????????? ??,1251834073292566528,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Done second dose vaccine. ?????? #AstraZeneca #FullyVaccinated,,,.0,1461143452922486788
2021-11-18 04:59:49,Animation Poser,1302077783720386560,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#AstraZeneca I don't rember if you say we need a third Covid19 injection. Of #AstraZeneca can you advise. https://t.co/qLJTDSKxtN,,,.0,1461076631292989446
2021-11-17 23:32:30,Adam English Bot 2021,1136308866986270720,,-1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Observe side effects from #AstraZeneca Vaccine https://t.co/DfDIwTdGEz,,,.0,1460994263131566090
2021-11-17 23:00:48,malathisrv,889778283486654464,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Great news #AstraZeneca https://t.co/0bLNPS6dhQ,,,.0,1460986283459690496
2021-11-17 21:36:02,Airon De Mesa,2464322695,,-1,en,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Done ✅ Finally I am fully vaccinated now! ?? Ganap na akong zombie ??
#AstraZeneca 
#fullyvacinnated
#2nddosedone @ Pugad at Agila, Enchanted Kingdom https://t.co/JGODQKcNXq",14.3,121.1,.0,1460964951829401608
2021-11-17 15:05:01,Oldham Council,114765763,,-1,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Get your second Astra Zeneca dose at the Millennium Centre today from 10am until 12noon. No appointment necessary, just walk in. These are for second doses only, not boosters. #Oldham #Covid19vaccine #Vaccination #AstraZeneca https://t.co/klyPzc1p7k",,,.0,1460866548588064768
2021-11-17 14:43:49,jpots_,1336118286375796738,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Just got my first dose! 
#AstraZeneca https://t.co/rUvijg4fGw",,,.0,1460861212741095424
2021-11-17 13:33:33,Prince Hunter,1459872438083223557,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Done 2nd dose of vaccine
#AstraZeneca https://t.co/WnmxUK498E",,,.0,1460843530595618818
2021-11-17 12:37:55,??NetteKulet??FANGIRL??Yechan&Byeonghee MoM??,27469373,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2nd dose done. 

#AstraZeneca",,,.0,1460829531162382340
2021-11-17 07:28:18,Hitchfan,243648321,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I'm very unsure of having a booster shot until #AstraZeneca produce one. #Booster,,,1.0,1460751611194712065
2021-11-17 05:25:58,?????????? ??????????:,47205562,,-1,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","#AstraZeneca #Covid_19 #COVID19 

Yet never a thank-you: AstraZeneca-Oxford COVID-19 vaccine supply hits two billion doses https://t.co/7EcmgQLjIx",,,.0,1460720827645763587
2021-11-17 00:12:47,Le??️h {Bishbashbosh},339266599,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I have now had every single vaccination possible this year.
2 x AstraZeneca. 1 x Pfizer booster. 1 x flu. 1 x pneumonia. 
If I catch anything now, I'll be bloody surprised. 
#Booster #Pfizer #AstraZeneca #lovethenhs",,,.0,1460642009786589196
2021-11-16 19:31:19,Daniel Galang,1334909997055004672,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","First does
Shout out sayo ate
#AstraZeneca https://t.co/s2FMekMspG",,,.0,1460571179035418627
2021-11-16 15:17:03,Robert Mayoral,395179203,salutcat,110394456,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@salutcat I els #AstraZeneca ??,,,.0,1460507187655196679
2021-11-16 10:41:13,John Emmanuel,441468838,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fully vaccinated ?? #AstraZeneca,,,.0,1460437774939553799
