Created-At,Text,
24/10/2021 19:31,The side effects of 2nd dose is the worst tbh #AstraZeneca,
31/10/2021 0:18,Is the vaccine really worth it? I am double jabbed but this week I have tested positive for COVID and I can honestly say it has knocked me I have been in bed since Wednesday.  Does the vaccine work? Why are the numbers rising? #COVID #AstraZeneca #BoosterShots,
29/10/2021 20:24,Going for a 2nd dose vaccination tomorrow. #resbakuna,
30/10/2021 22:26,"Got my 1st dose of astra today heart

_wag Naman Sana tayong lagnatin self no?HAHAHA may exam ka next week kaya dapat makisama ka??

#AstraZeneca",
03/11/2021 11:22,Aray ko naman ang bigat nya pala sa braso #AstraZeneca #GetVaccinated https://t.co/Hw5YvNXkSc,
14/11/2021 18:20,"Nagpa vaccine lang ako, mas naging sensitive skin ko. Like wtf....
#AstraZeneca ??",
08/11/2021 11:20,"2nd dose done check Pero mas sakit ang pag inject kaysa first dose, pero wala ako symptoms na feel di parehas sa first nagka chilsl ako #RESBAKUNA #AstraZeneca",
15/11/2021 2:43,"Second Dose done! I've been waiting for ever! ????

AstraZeneca Episode 2 was much easier than episode 1, felt even less effects than the first jab. ????

#AstraZeneca #GetVaccinated #2DoseClub https://t.co/ykqBlVDNPY",
12/11/2021 15:32,"Done Vaccine dose 2
#AstraZeneca",
15/11/2021 9:37,"2nd dosecheck????
#fullyvaccinated
#AstraZeneca https://t.co/DPaPajlfkR",
10/11/2021 21:54,Finally time for 2nd dose! #AstraZeneca,
15/11/2021 17:31,"Got my first dose??
#letsgetvaccinated 
#AstraZeneca",
07/11/2021 13:25,Hot afternoon???? my feeling so hot because of my first dose vaccine #AstraZeneca,
07/11/2021 7:50,"first dose done
#AstraZeneca",
12/11/2021 15:04,"Fully Vaccinated??
#AstraZeneca",
07/11/2021 2:39,"Ashes to ashes , dust to dust,if corona does not get you, AstraZeneca must.#corona #vaccin  #astrazeneca",
13/11/2021 10:48,1st dosecheck #vaccinated #AstraZeneca,
11/11/2021 15:47,"@valenzuelacity thank God I'm fully vaccinated
#AstraZeneca?? 
#bakundongvalenzulano 
God is good all the time ??????
Salamat PO sa ating butihing mayor @rex_gatchalian ?????? https://t.co/TLwGcGG8F4",
09/11/2021 11:53,"Done for 1st dose vaccine ??
#AstraZeneca check",
06/11/2021 16:58,"Just took the 2nd Covid Jab by #AstraZeneca through #MOH. My body has not felt like that in a long time. There's confusion, anxiety and other feelings I cannot describe. And not my body feels heavy and hot.",
10/11/2021 4:36,Fully vaccinated #2nddose #vaccinated #AstraZeneca #COVID19 https://t.co/u9T8Df7A6s,
10/11/2021 10:22,"My dad also got his second dose of #AstraZeneca and same thing he also felt , but he was okay within three days.

#CovidVaccine https://t.co/ILlox0iPM8",
09/11/2021 8:08,"got my 1st shot today. s/e body itchiness... but i already took antihistamines so i hope it goes away soon..

#CovidVaccine #AstraZeneca",
