Sentiment,Text,
1,"Life isn't about waiting for the storm to pass, it's about learning how to dance in the rain. Don't be afraid to get vaccinated. The government has studied their plans. We must cease playing the BLAME game since our enemy is invisible.
#RESBAKUNA #PFIZER",
1,"Thank You Lord, I'm fully vaccinated na! ??

#ResBakuna #GetVaccinatedNow",
1,First vaccine done! #Resbakuna #Bakuna https://t.co/XLg7QA7tFs,
1,Get vaccinated as soon as it�s your turn!?? #CathayYSS #CYDC #RESBAKUNA #BIDASolusyon #Covid19PH https://t.co/uzq9IVH4nB,
1,"Inoculation day. ??Finally, after being put off due to contracting the virus, we got our first jab. 
#CovidVaccine #GetVaccinatedNow #ResBakuna https://t.co/U2NZZHvG2v",
1,"
Fully vaxed! #RESBAKUNA #GetVaccinatedNow #Pfizer https://t.co/fi6PtaPebH",
0,"Got my first dose of the vaccine a few days ago and omfg, I�m dying #Pfizer",
1,Got my booster on the first day I was eligible. Got a flu shot at the same time.#BoosterShots #GetVaccinated #Pfizer https://t.co/lLCbh1YjT6,
1,Fully vaxxed ?? pwede na i-deploy ?? #Pfizer #vaccinated https://t.co/hFwV26BTpW,
0,"Not feeling well after my second dose yesterday. I hope I get better soon.
#FullyVaccinated #pfizer https://t.co/36b5U8Ye3T",
1,second dose done check #FullyVaccinated #pfizer,
1,"SECOND DOSE heart 
#pfizer https://t.co/goafqnAf5j",
1,"Oh, happy day! #VaccinesWork #Pfizer https://t.co/pTe4t83rbk",
1,"Had my First Dose of Pfizer Vaccine

#GetVaccinated #Pfizer https://t.co/6G72vFRpsG",
1,Fully vaccinated na si me!!! heart #Pfizer https://t.co/I8iPojTiXJ,
1,"I got my first dose of covid-19 vaccine
#Pfizer",
1,"Got my first dose today????
#Pfizer",
1,"Just got my first dose. ??
#Pfizer https://t.co/TKqCReTqlc",
1,"got my first dose ????
#Pfizer",
1,"first Dose check

#Pfizer ??",
1,I got #Pfizer vaccinated. https://t.co/WPzqHdAg5W,
1,Finally first dose done #Pfizer,
1,second dose of Pfizer vaccine completed! #CovidVaccine #COVIDVaccination #Pfizer #mmu https://t.co/4CVUEWergr,
1,Finally fully vaccinated #Pfizer  ????,
1,"ang cute ng band aid!! ????

get your vaccine shots guys!!! ????

#firstDose #Pfizer https://t.co/uWdWm53tbf",
1,first dose #vaccinated #Pfizer https://t.co/Tt1LxSJRi7,
1,"second dose done! ??
#fullyvaxxed 
#Pfizer https://t.co/2SLfTR6bg8",
1,"Fully Vaccinated heart Thank You, Lord! #Pfizer",
1,"second dose done heart
#pfizer",
1,"second dose done! Waiting to discharge 
#Pfizer",
1,second dose done!! this girl is now fully vaxxed. ?? #pfizer https://t.co/6K9GdEcGLt,
1,"got my second dose, yaaassss ?? i�m fully vaccinated!! #Pfizer",
1,"Fully vaccinated!??
#Pfizer https://t.co/IXuJm7uuKc",
1,okayy finally fully vaccinated!! #Pfizer,
1,"Booked for my second shot ??

#Pfizer #COVIDVaccination",
0,"Worst immediate effects of #Pfizer dose 1
� temporary numbness on RHS face + around right eye 
� bruised feeling on head+tender heaviness with phantom headaches
� throat tightness,like someone firmly but slowly strangling your neck
� lightheaded
� pins+needles in vaccine arm https://t.co/DF9pCdyvRg",
1,"Finally #vaccinated � YaaaaaaaaaaaaaY ????????????
#Pfizer
#Covid_19",
0,"Body pain and fever??
#Pfizer",
1,"Second Dose is coming????
#Pfizer",
